Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,DateTime_Intake_month,DateTime_Intake_year,DateTime_Outcome_month,DateTime_Outcome_year,Date of Birth_month,Date of Birth_year,Day_in_shelter,Reproduction_ability,health_Situation
A797021,Austin,Stray,Normal,Cat,Intact Male,61.0,Other,Mix color,Intact Male,74.0,Alive,6,2019,6,2019,4,2019,13.0,Yes,Healthy
A702589,Austin,Wildlife,Normal,Other,Unknown,30.0,Other,Mix color,Unknown,30.0,Death,5,2015,5,2015,4,2015,0.0,Unknown,Healthy
A687387,Austin,Stray,Normal,Other,Intact Male,365.0,Other,Tan,Intact Male,419.0,Alive,9,2014,10,2014,9,2013,54.0,Yes,Healthy
A712303,Austin,Public Assist,Normal,Dog,Spayed Female,549.0,Other,Mix color,Spayed Female,560.0,Alive,9,2015,10,2015,3,2014,11.0,No,Healthy
A683663,Austin,Stray,Normal,Cat,Intact Female,150.0,Domestic Shorthair Mix,Mix color,Intact Female,151.0,Alive,7,2014,7,2014,2,2014,1.0,Yes,Healthy
A730796,Austin,Stray,Normal,Dog,Intact Female,735.0,Labrador Retriever Mix,Mix color,Spayed Female,744.0,Alive,7,2016,7,2016,7,2014,9.0,No,Healthy
A686268,Austin,Owner Surrender,Normal,Cat,Intact Male,259.0,Domestic Shorthair Mix,Mix color,Neutered Male,270.0,Alive,8,2014,8,2014,12,2013,11.0,No,Healthy
A697230,Austin,Stray,Injured,Cat,Intact Female,3287.0,Domestic Shorthair Mix,Black,Intact Female,3287.0,Death,2,2015,2,2015,2,2006,0.0,Yes,Unhealthy
A684893,Austin,Public Assist,Normal,Dog,Spayed Female,1217.0,German Shepherd Mix,Mix color,Spayed Female,1225.0,Alive,7,2014,8,2014,4,2011,8.0,No,Healthy
A689405,Austin,Wildlife,Normal,Other,Unknown,730.0,Bat Mix,Brown,Unknown,730.0,Death,10,2014,10,2014,10,2012,0.0,Unknown,Healthy
A759799,Austin,Stray,Normal,Cat,Intact Female,61.0,Domestic Shorthair Mix,Mix color,Spayed Female,66.0,Alive,10,2017,10,2017,8,2017,5.0,No,Healthy
A739141,Austin,Stray,Sick,Dog,Neutered Male,2922.0,Other,Mix color,Neutered Male,2926.0,Alive,11,2016,12,2016,11,2008,4.0,No,Unhealthy
A678671,Austin,Owner Surrender,Normal,Cat,Intact Male,6.0,Domestic Shorthair Mix,Tabby,Neutered Male,68.0,Alive,5,2014,7,2014,5,2014,62.0,No,Healthy
A803408,Austin,Stray,Normal,Cat,Unknown,137.0,Domestic Shorthair Mix,Torbie,Unknown,140.0,Alive,8,2019,9,2019,4,2019,3.0,Unknown,Healthy
A650399,Austin,Stray,Normal,Dog,Neutered Male,954.0,Other,Mix color,Neutered Male,963.0,Alive,11,2013,11,2013,3,2011,9.0,No,Healthy
A719490,Valle,Stray,Normal,Dog,Intact Male,52.0,Labrador Retriever Mix,Black,Intact Male,54.0,Alive,1,2016,1,2016,11,2015,2.0,Yes,Healthy
A781923,Travis,Public Assist,Normal,Dog,Neutered Male,3573.5499999999965,Chihuahua Shorthair Mix,Tan,Neutered Male,3575.6999999999966,Alive,10,2018,10,2018,10,2006,2.150000000000091,No,Healthy
A746513,Austin,Stray,Normal,Dog,Neutered Male,365.0,Other,White,Neutered Male,365.0,Alive,4,2017,4,2017,4,2016,0.0,No,Healthy
A708346,Austin,Stray,Normal,Cat,Intact Female,76.0,Domestic Shorthair Mix,Blue,Spayed Female,80.0,Alive,7,2015,7,2015,5,2015,4.0,No,Healthy
A713344,Austin,Stray,Normal,Cat,Intact Male,28.0,Domestic Medium Hair Mix,Blue,Neutered Male,76.0,Alive,10,2015,11,2015,9,2015,48.0,No,Healthy
A684222,Austin,Stray,Normal,Dog,Intact Male,1630.0,Pit Bull Mix,Mix color,Intact Male,1637.0,Alive,1,2016,1,2016,7,2011,7.0,Yes,Healthy
A636542,Austin,Stray,Normal,Cat,Spayed Female,1876.0,Domestic Shorthair Mix,Mix color,Spayed Female,1877.0,Alive,10,2016,10,2016,9,2011,1.0,No,Healthy
A620608,Austin,Stray,Normal,Dog,Neutered Male,3573.5499999999965,Other,White,Neutered Male,3575.6999999999966,Alive,4,2018,4,2018,2,2003,2.150000000000091,No,Healthy
A690528,Austin,Wildlife,Normal,Other,Unknown,365.0,Other,Brown,Unknown,366.0,Death,10,2014,10,2014,10,2013,1.0,Unknown,Healthy
A688168,Austin,Stray,Normal,Dog,Intact Male,730.0,Chihuahua Shorthair Mix,Yellow,Neutered Male,736.0,Alive,9,2014,9,2014,9,2012,6.0,No,Healthy
A700242,Austin,Owner Surrender,Normal,Dog,Intact Female,2556.0,Other,Black,Intact Female,2569.0,Alive,4,2015,4,2015,4,2008,13.0,Yes,Healthy
A710748,Austin,Stray,Normal,Cat,Intact Male,46.0,Domestic Shorthair Mix,Mix color,Neutered Male,86.0,Alive,8,2015,10,2015,7,2015,40.0,No,Healthy
A777743,Austin,Stray,Normal,Dog,Intact Male,92.0,Other,Mix color,Intact Male,103.0,Alive,8,2018,8,2018,5,2018,11.0,Yes,Healthy
A764672,Austin,Stray,Normal,Dog,Intact Male,1096.0,Other,Tan,Neutered Male,1162.0,Alive,1,2018,3,2018,1,2015,66.0,No,Healthy
A781486,Austin,Stray,Normal,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Mix color,Spayed Female,370.0,Alive,9,2018,10,2018,9,2017,5.0,No,Healthy
A697606,Austin,Stray,Normal,Dog,Intact Female,549.0,Other,Mix color,Spayed Female,554.0,Alive,2,2015,3,2015,8,2013,5.0,No,Healthy
A761322,Austin,Stray,Normal,Dog,Intact Male,273.0,Other,Mix color,Intact Male,273.0,Alive,11,2017,11,2017,2,2017,0.0,Yes,Healthy
A755142,Austin,Stray,Normal,Cat,Unknown,15.0,Domestic Shorthair Mix,Black,Unknown,15.0,Alive,7,2017,7,2017,7,2017,0.0,Unknown,Healthy
A798441,Travis,Stray,Normal,Cat,Intact Female,68.0,Domestic Shorthair,Mix color,Intact Female,73.0,Alive,6,2019,7,2019,4,2019,5.0,Yes,Healthy
A776040,Austin,Stray,Normal,Cat,Intact Female,83.0,Domestic Shorthair Mix,Mix color,Spayed Female,87.0,Alive,7,2018,7,2018,4,2018,4.0,No,Healthy
A798043,Austin,Stray,Normal,Cat,Intact Female,61.0,Domestic Shorthair,Tortie,Spayed Female,65.0,Alive,6,2019,6,2019,4,2019,4.0,No,Healthy
A698641,Austin,Owner Surrender,Sick,Dog,Neutered Male,3573.5499999999965,Pit Bull Mix,Mix color,Neutered Male,3575.6999999999966,Death,3,2015,3,2015,3,2005,2.150000000000091,No,Unhealthy
A802042,Austin,Stray,Normal,Cat,Intact Female,76.0,Domestic Shorthair Mix,Tabby,Spayed Female,99.0,Alive,8,2019,9,2019,5,2019,23.0,No,Healthy
A762307,Austin,Stray,Normal,Dog,Neutered Male,731.0,German Shepherd Mix,Mix color,Neutered Male,733.0,Alive,11,2017,11,2017,11,2015,2.0,No,Healthy
A802787,Travis,Stray,Injured,Dog,Intact Female,46.0,Chihuahua Shorthair Mix,Mix color,Spayed Female,75.0,Alive,8,2019,9,2019,7,2019,29.0,No,Unhealthy
